insee;X;Y;Weight;obs;pred;random
2672;-118.434;34.0479;1;0.0129;0.00191137597070769;5
3003.01;-118.253117;34.244811;1;0.0315;-0.00263100909464579;10
5034.02;-118.001165;33.945284;1;-0.005;-0.00479182111890875;6
320.47;-117.639444;33.658525;1;0.006;0.0056317697671728;4
9200.44;-118.511764;34.44536;1;0.0667;0.000577100410640685;8
525.21;-117.827282;33.683738;1;-0.1076;0.00394774945040032;9
54.01;-119.028717;34.237489;1;0.0139;0.00301938182739176;2
864.05;-117.895837;33.839854;1;-0.006;0.00499186356410613;9
4039.02;-117.867635;34.11898;1;0.0797;0.00616569479980567;8
1249.03;-118.401203;34.16783;1;-0.0481;0.00316377229772893;3
2761;-118.358828;33.981889;1;-0.0305;-0.00432985852624929;3
9011.01;-118.224359;34.656085;1;-0.078;0.00382855424865193;8
871.03;-117.94819;33.830915;1;-0.0171;-0.00283999993111123;5
3021.03;-118.238;34.1438;1;0.0431;-0.00208696596325413;3
525.14;-117.792667;33.670025;1;0.0257;0.0116426522514393;4
871.05;-117.934196;33.824631;1;0.0276;0.0169714904287332;7
64;-118.858393;34.227713;1;-0.0202;0.00804903343998739;8
3020.03;-118.243;34.1491;1;-0.009;0.00354971115685417;8
524.19;-117.768326;33.749069;1;0.0139;0.0103398430161394;3
15.02;-119.216686;34.265837;1;-0.0899;0.0196917476078943;7
6005.02;-118.328855;33.9278;1;-0.0202;0.00637592159896757;7
743;-117.858551;33.72036;1;0.0276;-0.0265428854175281;7
9201.12;-118.532839;34.437802;1;0.0411;0.0130199212004368;2
2655.2;-118.436;34.0518;1;0.0545;0.00389502652906869;1
4617;-118.163247;34.170125;1;-0.1154;0.0132925843029787;9
8003.29;-118.703306;34.128142;1;0;0.0115937334293506;6
3009.01;-118.209667;34.163122;1;-0.0161;0.0081458560088126;8
423.23;-117.704634;33.47518;1;-0.0888;-0.000407747678355957;6
4318;-118.059941;34.118417;1;-0.0523;0.00715954085963173;1
5736.01;-118.123832;33.823952;1;0.0564;0.0133715594355424;9
4037.21;-117.879214;34.097427;1;-0.0131;-0.00363131948497432;10
